Початок тривоги,Гео,Тривалість тривоги
2024-04-09 16:22:49+00:00,"['одесс', 'одес']",34
2024-04-09 22:41:44+00:00,"['центр', 'одес', 'очаків', 'аркад']",111
2024-04-10 01:49:43+00:00,"['одес', 'чорноморськ', 'чорноморськ']",35
2024-04-10 20:15:12+00:00,"['одес', 'чорноморськ', 'заток', 'чорноморськ', 'аркад', 'маяк', 'хлібодарськ', 'татарбунар', 'одес', 'маяк', 'чорноморськ', 'одес']",455
2024-04-11 23:15:50+00:00,"['одес', 'ширяєв', 'балт']",116
2024-04-14 12:45:08+00:00,['чорноморськ'],34
2024-04-15 19:42:42+00:00,['первомайськ'],52
2024-04-17 06:30:00+00:00,"['центр', 'одес', 'центр', 'приморськ', 'центр', 'одес']",36
2024-04-17 23:10:23+00:00,"['одес', 'очаків', 'білгород', 'лебедівк', 'татарбунар', 'одес', 'арциз', 'маяк', 'арциз', 'одес', 'біляївк']",155
2024-04-18 20:40:31+00:00,"['вознесенськ', 'березівк', 'татарбунар', 'заток']",68
2024-04-18 22:20:34+00:00,"['заток', 'лебедівк', 'біляївк']",76
2024-04-19 01:40:24+00:00,"['заток', 'білгород', 'заток', 'одес']",94
2024-04-20 02:37:25+00:00,['одес'],56
2024-04-20 05:22:19+00:00,['одес'],33
2024-04-21 10:14:18+00:00,['одесс'],39
2024-04-21 21:49:54+00:00,"['заток', 'маяк', 'кінбурн', 'коблев', 'южн']",62
2024-04-22 22:33:59+00:00,"['фонтанк', 'ланжерон', 'центр', 'одес', 'черьомушк', 'сергіївк', 'маяк', 'чорноморськ', 'заток', 'одес', 'центр']",94
2024-04-23 04:17:54+00:00,['одес'],29
2024-04-25 10:53:52+00:00,['одес'],79
